"Timestamp","Gender","Age Group","Occupation","How often do you use matatus?","What is your biggest challenge when using matatus? (Select all that apply)
","On average, how long do you wait for a matatu?","Have you ever missed an appointment/work/class due to matatu delays?","Do you know alternative routes when your usual matatu is unavailable?","Do you currently use any transport apps? (e.g., Bolt,  Ma3Route, Uber)","Would you use an app that shows real-time matatu locations and ETAs?","Which features would be most useful to you? ","Would you trust an app that relies on conductors' phones for tracking?","What would make you use this app daily? (Select all that apply)","Would you be willing to test the My Matatu app prototype?","Any additional suggestions to improve matatu commuting?"
"2025/06/14 5:20:15 AM AST","Male","25-34","Self-employed","3-5 times a week","Unpredictable wait times","10-30 minutes","Yes","Maybe","Yes","Definitely Yes","Real-time matatu tracking","Yes, if accurate","Accurate ETAs;Offline route access;Low data usage;Discounts/promotions","Yes","Good user interface could be a boost in addition to the actual app being workable in real time instance "
"2025/06/14 5:53:56 AM AST","Male","25-34","Student","Daily","Unpredictable wait times","Less than 10 minutes","Yes","No","Yes","Definitely Yes","Real-time matatu tracking","Yes, if accurate","Accurate ETAs","Yes",""
"2025/06/14 6:10:44 AM AST","Male","25-34","Self-employed","Occasionally","Unpredictable wait times","30-60 minutes","No","Yes","Yes","Definitely Yes","Real-time matatu tracking","No, I prefer GPS trackers","Accurate ETAs","Yes",""
"2025/06/14 11:31:06 AM AST","Male","18-24","Employed (Formal)","3-5 times a week","Overcrowding at stages","10-30 minutes","Yes","No","Yes","Not Sure","Estimated arrival times (ETA);Fare estimates","Only if SACCOs verify data","Accurate ETAs;Offline route access;Safety alerts","Maybe",""
"2025/06/14 1:48:38 PM AST","Female","25-34","Employed (Formal)","Daily","Unpredictable wait times;Overcrowding at stages;Lack of route information;Difficulty finding connecting matatus;Safety concerns","Less than 10 minutes","Yes","Maybe","Yes","Definitely Yes","Estimated arrival times (ETA);Multi-leg journey suggestions;Notifications when a matatu is near;Fare estimates","Only if SACCOs verify data","Accurate ETAs;Offline route access;Low data usage;Safety alerts;Discounts/promotions","Yes",""
"2025/06/14 6:27:31 PM AST","Male","18-24","Employed (Formal)","Occasionally","Lack of route information","Less than 10 minutes","Yes","Yes","Yes","Definitely Yes","Estimated arrival times (ETA)","No, I prefer GPS trackers","Accurate ETAs","Yes","They adhere to the traffic rules. "
"2025/06/18 8:26:09 AM AST","Female","18-24","Student","Daily","Unpredictable wait times;Overcrowding at stages;Lack of route information","10-30 minutes","Yes","Maybe","Yes","Probably Yes","Real-time matatu tracking;Estimated arrival times (ETA);Fare estimates","Only if SACCOs verify data","Accurate ETAs","Yes",""
"2025/06/18 8:31:10 AM AST","Male","18-24","Student","Daily","Unpredictable wait times;Overcrowding at stages","10-30 minutes","No","Maybe","No","Probably Yes","Real-time matatu tracking;Estimated arrival times (ETA);Multi-leg journey suggestions;Notifications when a matatu is near;Fare estimates","Only if SACCOs verify data","Accurate ETAs;Offline route access;Low data usage","Maybe",""
"2025/06/18 9:10:12 AM AST","Female","18-24","Student","3-5 times a week","Safety concerns","Less than 10 minutes","No","Maybe","Yes","Probably No","Multi-leg journey suggestions","Not sure","Low data usage","Yes","avoid overcarrying passengers"
"2025/06/18 4:39:22 PM AST","Male","25-34","Unemployed","Occasionally","Difficulty finding connecting matatus","10-30 minutes","No","Maybe","Yes","Definitely Yes","Real-time matatu tracking;Multi-leg journey suggestions;Fare estimates","No, I prefer GPS trackers","Accurate ETAs;Offline route access;Discounts/promotions","Yes",""
"2025/06/19 2:37:28 AM AST","Male","18-24","Student","Daily","Unpredictable wait times;Safety concerns","10-30 minutes","Yes","Yes","Yes","Definitely Yes","Real-time matatu tracking;Notifications when a matatu is near","Only if SACCOs verify data","","Yes",""
"2025/06/19 8:20:06 AM AST","Male","25-34","Self-employed","Occasionally","Difficulty finding connecting matatus","Less than 10 minutes","No","No","No","Definitely Yes","Real-time matatu tracking","Yes, if accurate","Accurate ETAs","Yes","Connecting routes "
"2025/06/19 11:37:07 AM AST","Male","18-24","Student","Occasionally","Safety concerns","Less than 10 minutes","Yes","Yes","Yes","Not Sure","Real-time matatu tracking","Only if SACCOs verify data","Offline route access;Safety alerts;Discounts/promotions","Yes",""
"2025/06/19 2:42:57 PM AST","Female","25-34","Employed (Formal)","Daily","Unpredictable wait times;Safety concerns","10-30 minutes","Yes","Yes","Yes","Definitely Yes","Real-time matatu tracking;Estimated arrival times (ETA);Fare estimates","Only if SACCOs verify data","Accurate ETAs","Maybe",""
"2025/06/19 3:36:08 PM AST","Male","25-34","Self-employed","3-5 times a week","Overcrowding at stages","10-30 minutes","Yes","Yes","Yes","Probably No","Real-time matatu tracking","Not sure","Accurate ETAs;Offline route access","Yes",""
"2025/06/19 9:57:17 PM AST","Female","35-44","Unemployed","Daily","Difficulty finding connecting matatus;Safety concerns","10-30 minutes","Yes","Yes","Yes","Definitely Yes","Estimated arrival times (ETA)","Only if SACCOs verify data","Offline route access","Yes",""
"2025/06/20 2:06:00 AM AST","Male","25-34","Self-employed","Occasionally","Overcrowding at stages","10-30 minutes","Yes","No","Yes","Definitely Yes","Real-time matatu tracking","No, I prefer GPS trackers","Accurate ETAs;Offline route access","Yes",""
